témoignent           ==> made : 0.139612           doing : 0.0698061         transferring : 0.0698061 
colons               ==> raises : 0.249949         settlers : 0.249949       return : 0.249949        
devrait              ==> should : 0.955451         be : 0.0445247            in : 2.27256e-05         
regrettons           ==> regret : 0.10717          protect : 0.10717         biodiversity : 0.10717   
devrais              ==> probably : 0.107841       most : 0.107841           maybe : 0.107841         
satisfaction         ==> meeting : 0.471112        making : 0.282524         good : 0.165037          
viêt                 ==> vietnam : 0.385812        just : 0.255653           pursued : 0.050699       
62                   ==> 62 : 0.434595             nos : 0.366331            therefore : 0.199074     
64                   ==> 64 : 0.748754             lot : 0.0358922           involve : 0.0358922      
65                   ==> 65 : 0.827097             legislation : 0.133536    according : 0.00787325   
66                   ==> 66 : 0.126265             58 : 0.126265             47 : 0.126265            
mesures              ==> measures : 0.999806       to : 0.000193599          this : 1.69169e-09       
68                   ==> marketing : 0.0801729     klass : 0.0801729         cns : 0.0801729          
mesurera             ==> wish : 0.124393           pay : 0.124393            greatly : 0.124393       
nicole               ==> her : 0.112935            seize : 0.0604563         state : 0.0604563        
korakas              ==> vessel : 0.137619         sinking : 0.137619        samina : 0.137619        
troupes              ==> troops : 0.166661         cent : 0.166661           almost : 0.166661        
inclusive            ==> we : 0.401202             an : 0.0599702            finally : 0.0379888      
navale               ==> shipbuilding : 0.50993    taken : 0.405264          also : 0.0845813         
sympathie            ==> possible : 0.0725524      our : 0.0725524           sympathy : 0.0725524     
félicite             ==> pleased : 0.292428        welcome : 0.255479        am : 0.252445            
500                  ==> 500 : 0.54277             at : 0.0800726            draft : 0.0467917        
concernant           ==> on : 0.471018             s : 0.322085              concerning : 0.19507     
direction            ==> direction : 0.520518      make : 0.184257           present : 0.120855       
industrielles        ==> secret : 0.102182         banking : 0.102182        truly : 0.0510911        
protocole            ==> protocol : 0.91041        under : 0.0895123         be : 5.71328e-05         
distinguer           ==> want : 0.142862           sets : 0.142862           if : 0.142862            
pcb                  ==> this : 0.220989           expected : 0.114269       become : 0.114269        
demanderais          ==> upon : 0.166667           rethink : 0.166667        call : 0.166667          
geste                ==> tactical : 0.0836038      straight : 0.0836038      gesture : 0.0836038      
dépassée             ==> unsafe : 0.0976742        needs : 0.0976742         covers : 0.0976742       
édification          ==> property : 0.158714       firms : 0.158714          was : 0.158714           
soixante             ==> sixty : 0.199996          expected : 0.199996       etuc : 0.199996          
couronne             ==> am : 0.0808847            held : 0.0808847          voting : 0.0808847       
traditionnellement   ==> traditionally : 0.200003  industrial : 0.200003     been : 0.200003          
parfois              ==> those : 0.338101          are : 0.324723            sometimes : 0.237119     
oublions             ==> think : 0.190462          secondly : 0.190462       forgetting : 0.190462    
viande               ==> pigmeat : 0.758475        market : 0.241405         a : 2.69047e-05          
connaissais          ==> was : 0.338424            aware : 0.338424          of : 0.323152            
apôtre               ==> his : 0.151312            transformed : 0.0771534   themselves : 0.0771534   
compensations        ==> take : 0.120028           respective : 0.120028     regards : 0.120028       
connaissait          ==> working : 0.0786021       within : 0.0786021        vague : 0.0786021        
évaluer              ==> just : 0.114594           now : 0.114594            scrutinised : 0.114594   
blocages             ==> symptomatic : 0.227248    obstacles : 0.227248      multiplied : 0.227248    
brièvement           ==> briefly : 0.333335        by : 0.223809             accepted : 0.166667      
collègue             ==> colleague : 0.344758      by : 0.237069             mr : 0.223914            
coréenne             ==> ground : 0.0821979        safeguard : 0.0821979     standing : 0.0821979     
mystérieuses         ==> mysterious : 0.086405     misunderstood : 0.086405  spirit : 0.086405        
séparation           ==> work : 0.256397           welcomes : 0.0913181      separation : 0.0913181   
impératif            ==> based : 0.122418          vegetable : 0.122418      resume : 0.122418        
aimerais             ==> like : 0.703847           to : 0.131899             should : 0.0996065       
députés              ==> members : 0.653735        meps : 0.241463           parliament : 0.069411    
repoussée            ==> who : 0.12374             pay : 0.12374             matter : 0.12374         
interdits            ==> does : 0.223674           notion : 0.111837         banned : 0.111837        
collaborer           ==> opinion : 0.0939397       matter : 0.0939397        influence : 0.0939397    
week                 ==> weekend : 0.183122        pleasant : 0.183122       declare : 0.183122       
identifié            ==> sought : 0.116932         sentenced : 0.116932      refuge : 0.116932        
devoir               ==> we : 0.245148             duty : 0.187792           do : 0.173409            
personne             ==> one : 0.349549            no : 0.285408             of : 0.137401            
riis                 ==> xxixth : 0.120982         riis : 0.120982           jørgensen : 0.120982     
nombreuses           ==> many : 0.809149           even : 0.190566           they : 0.000193549       
amené                ==> deliver : 0.166621        considerations : 0.166621 these : 0.16662          
récupérer            ==> worked : 0.0901965        successes : 0.0901965     recovering : 0.0901965   
bancaires            ==> secret : 0.102182         banking : 0.102182        truly : 0.0510911        
viticole             ==> updated : 0.0487238       supervise : 0.0487238     response : 0.0487238     
juris                ==> carried : 0.0748005       third : 0.0748005         officials : 0.0748005    
fondé                ==> shown : 0.138749          politics : 0.138749       above : 0.138749         
prévisions           ==> increase : 0.179768       applications : 0.0507013  predictions : 0.0507013  
écho                 ==> report : 0.328982         echoes : 0.263706         for : 0.157623           
actions              ==> action : 0.430934         actions : 0.181252        are : 0.126811           
qualifierai          ==> linked : 0.145938         describe : 0.145938       thus : 0.145938          
clos                 ==> closed : 0.627064         concludes : 0.125413      this : 0.125413          
yougoslave           ==> yugoslavia : 0.552749     thereby : 0.0413638       day : 0.0413638          
crapuleries          ==> villainies : 0.109709     tolerating : 0.109709     run : 0.109709           
raciales             ==> heard : 0.267014          summer : 0.0890047        pay : 0.0890047          
sévèrement           ==> sure : 0.079759           strict : 0.079759         shall : 0.079759         
figurent             ==> which : 0.195962          are : 0.0968101           unquestionably : 0.0436886
coton                ==> seed : 0.5                cotton : 0.5              organisms : 3.85618e-15  
peuplé               ==> were : 0.245197           populous : 0.245197       eu : 0.245197            
ministériel          ==> ministerial : 0.543872    comprehensive : 0.0539953 square : 0.0539953       
interprète           ==> were : 0.203627           expressed : 0.203627      duly : 0.203627          
départ               ==> for : 0.457385            with : 0.300993           has : 0.134998           
donnerai             ==> inequality : 0.172846     major : 0.0864229         couple : 0.0864229       
combien              ==> how : 0.550363            would : 0.2121            of : 0.0371427           
leipzig              ==> leipzig : 0.185408        issued : 0.185408         at : 0.178343            
dotées               ==> those : 0.174902          significance : 0.174902   harbours : 0.174902      
librement            ==> freely : 0.428767         over : 0.279038           then : 0.273866          
accepter             ==> accept : 0.988383         can : 0.0116166           and : 8.1775e-08         
préoccupée           ==> capitalist : 0.185039     final : 0.0925195         each : 0.0925195         
préoccupés           ==> concerned : 0.669058      are : 0.203254            itself : 0.00952649      
rendrez              ==> scores : 0.129465         evident : 0.129465        colleagues : 0.129465    
commerciale          ==> only : 0.53556            should : 0.428365         it : 0.035923            
couverture           ==> country : 0.126296        somewhat : 0.109977       significantly : 0.109977 
labyrinthe           ==> tired : 0.110834          victims : 0.110834        marginalises : 0.110834  
tabagisme            ==> tragedy : 0.1353          smoking : 0.1353          preventable : 0.1353     
possibles            ==> possible : 0.453832       at : 0.375393             over : 0.0765899         
ralenti              ==> down : 0.249999           slowed : 0.249999         setbacks : 0.249999      
constaté             ==> have : 0.282821           for : 0.233632            various : 0.0388243      
sucrières            ==> sugar : 0.0665064         pressed : 0.0665064       except : 0.0665064       
réussir              ==> worse : 0.072176          usa : 0.072176            since : 0.072176         
madrid               ==> live : 0.0833332          unfairly : 0.0833332      stupidly : 0.0833332     
démontrer            ==> those : 0.153494          protecting : 0.153494     demonstrate : 0.153494   
régionaux            ==> regional : 0.561167       great : 0.256455          regions : 0.182368       
passera              ==> run : 0.103569            during : 0.103569         shall : 0.103569         
résidera             ==> body : 0.0704796          addition : 0.0704796      veterinary : 0.0704796   
respect              ==> respect : 0.623848        for : 0.375241            be : 0.000480582         
turcs                ==> turkish : 0.971643        is : 0.0281463            in : 8.34528e-05         
réponde              ==> pinochet : 0.118567       set : 0.115373            as : 0.063617            
résolues             ==> tribute : 0.109437        leave : 0.109437          pay : 0.109437           
luxembourg           ==> luxembourg : 0.371898     translation : 0.0483148   shop : 0.0483148         
peuple               ==> people : 0.849217         are : 0.0859648           this : 0.0584688         
cible                ==> target : 0.111537         comments : 0.111537       specifics : 0.111537     
portes               ==> as : 0.0970445            websites : 0.0849073      remove : 0.0849073       
accueil              ==> into : 0.54321            they : 0.185638           by : 0.112633            
énorme               ==> opinions : 0.108891       enormous : 0.108891       courageous : 0.108891    
reconnais            ==> recognise : 0.450093      are : 0.201084            business : 0.0620533     
longues              ==> recorded : 0.0619131      provided : 0.0619131      moving : 0.0619131       
accepterait          ==> opposed : 0.13469         accept : 0.13469          raising : 0.13469        
vains                ==> survive : 0.0478582       splendid : 0.0478582      respected : 0.0478582    
on                   ==> we : 0.401468             be : 0.270213             and : 0.090047           
excédents            ==> charges : 0.103204        taxes : 0.103204          income : 0.103204        
of                   ==> up : 0.0490701            whistling : 0.0490701     soothsayer : 0.0490701   
leach                ==> produced : 0.116671       leach : 0.116671          gramm : 0.116671         
ou                   ==> or : 1                    in : 9.17268e-10          to : 7.41849e-10         
remplacées           ==> things : 0.0739251        resulting : 0.0739251     replaced : 0.0739251     
personnelles         ==> personal : 0.997952       fact : 0.00204752         do : 9.14629e-09         
or                   ==> with : 0.296515           very : 0.284713           but : 0.241528           
imposent             ==> are : 0.854614            a : 0.145353              victim : 1.09591e-05     
instruments          ==> instruments : 0.779251    effective : 0.158082      level : 0.0395339        
compatibles          ==> stretch : 0.193415        mandate : 0.193415        compatible : 0.193415    
capables             ==> undermine : 0.183379      maintain : 0.183379       art : 0.183379           
réprimées            ==> violent : 0.0910851       uprisings : 0.0910851     turkey : 0.0910851       
négatif              ==> will : 0.284447           be : 0.281955             we : 0.228414            
culturel             ==> cultural : 0.604205       schools : 0.0458074       networking : 0.0458074   
espagne              ==> spain : 1                 would : 7.52743e-08       in : 4.0725e-09          
celui                ==> that : 0.308111           is : 0.237779             with : 0.177626          
ponce                ==> occasion : 0.0783807      sovereign : 0.0783807     refers : 0.0783807       
développent          ==> need : 0.061458           include : 0.0508246       mind : 0.0508246         
saper                ==> undermine : 0.183379      maintain : 0.183379       art : 0.183379           
strict               ==> words : 0.083176          process : 0.083176        acceptance : 0.083176    
cultures             ==> countries : 0.493629      organisms : 0.120607      crops : 0.120607         
disposer             ==> given : 0.497139          a : 0.302835              have : 0.177114          
équité               ==> also : 0.32298            lead : 0.082826           fairest : 0.082826       
réaction             ==> reaction : 0.397675       at : 0.215949             expose : 0.0434339       
matière              ==> for : 0.348705            from : 0.268464           in : 0.118186            
regard               ==> say : 0.395239            financial : 0.122336      with : 0.037308          
bancaire             ==> secret : 0.102182         banking : 0.102182        truly : 0.0510911        
épouvantable         ==> living : 0.176059         thanks : 0.114548         appalling : 0.114548     
conséquente          ==> sizeable : 0.206162       preferred : 0.206162      component : 0.206162     
confrontés           ==> has : 0.233193            concerned : 0.207452      ourselves : 0.207452     
tentant              ==> working : 0.0490701       uk : 0.0490701            out : 0.0490701          
renforcera           ==> profile : 0.15309         integrating : 0.15309     heighten : 0.15309       
psychologiques       ==> knowledge : 0.166808      needed : 0.166808         true : 0.166808          
constituait          ==> subsequently : 0.0254797  left : 0.0254797          form : 0.0254797         
exigent              ==> mad : 0.0909091           disease : 0.0909091       cow : 0.0909091          
pen                  ==> le : 0.499822             pen : 0.499822            true : 6.56527e-05       
secteur              ==> sector : 0.883955         that : 0.116017           in : 1.85783e-05         
amendée              ==> draw : 0.0743334          thereof : 0.0743334       stipulate : 0.0743334    
transmettrons        ==> will : 0.144771           so : 0.1256               quaestors : 0.121017     
phénomène            ==> however : 0.0938719       them : 0.0938719          terms : 0.0938719        
orient               ==> middle : 0.519085         east : 0.480891           a : 2.40219e-05          
5                    ==> 5 : 0.998956              for : 0.000914508         to : 0.000127795         
volontiers           ==> ya : 0.079766             readily : 0.079766        nothing : 0.079766       
oublier              ==> forget : 0.763746         we : 0.186868             passed : 0.00889748      
vieillissement       ==> yield : 0.0445773         restricted : 0.0445773    emergence : 0.0445773    
discours             ==> speech : 0.44485          those : 0.236398          in : 0.208687            
incapables           ==> incapable : 0.0999516     condition : 0.0999516     relate : 0.0999516       
suspendue            ==> suspended : 0.2           resumed : 0.2             formal : 0.2             
richesse             ==> wealth : 0.165681         problems : 0.165681       generating : 0.165681    
finale               ==> final : 0.575327          embarked : 0.0328333      consolidate : 0.0328333  
célèbre              ==> grammes : 0.104196        one : 0.104192            swoop : 0.052098         
stocks               ==> where : 0.602307          whole : 0.0497117         could : 0.0497117        
opportunités         ==> re : 0.129252             opportunities : 0.129252  guard : 0.129252         
eusse                ==> seeing : 0.21929          practical : 0.21929       could : 0.21929          
élèverait            ==> volume : 0.129289         usd : 0.129289            recycled : 0.129289      
précis               ==> they : 0.310955           that : 0.288052           message : 0.0399715      
transports           ==> transport : 0.820227      for : 0.17289             policy : 0.00688302      
démocratiques        ==> democratic : 0.901932     just : 0.0943249          here : 0.00374174        
ali                  ==> improved : 0.0721284      prison : 0.0721284        press : 0.0721284        
clauses              ==> trademarks : 0.146173     simply : 0.146173         anomalies : 0.146173     
ale                  ==> verts : 0.170236          rod : 0.170236            maes : 0.170236          
groupement           ==> subjected : 0.0687603     used : 0.0687603          unjustified : 0.0687603  
refroidissement      ==> repairs : 0.227808        cooling : 0.227808        way : 0.227808           
valeurs              ==> values : 0.81134          our : 0.167452            european : 0.0211951     
concept              ==> concept : 0.689168        would : 0.163827          so : 0.146093            
peser                ==> citizenship : 0.170404    carry : 0.170404          much : 0.170404          
allé                 ==> he : 0.144938             sister : 0.0763062        promoted : 0.0763062     
parenthèse           ==> trap : 0.0667208          star : 0.0667208          slovakia : 0.0667208     
ôtant                ==> workplace : 0.0737405     smiling : 0.0737405       removing : 0.0737405     
axés                 ==> target : 0.1643           indicator : 0.1643        directed : 0.1643        
entière              ==> throughout : 0.396948     whole : 0.133491          changed : 0.133491       
catastrophe          ==> disaster : 0.587545       in : 0.384984             share : 0.0253158        
endroit              ==> sense : 0.493755          makes : 0.273741          it : 0.229264            
indigènes            ==> indigenous : 0.162927     caucasus : 0.162927       its : 0.162927           
effets               ==> effects : 0.833306        system : 0.0555627        however : 0.0555627      
négociées            ==> through : 0.113055        solutions : 0.113055      regards : 0.113055       
populistes           ==> about : 0.0994236         who : 0.0767522           reflection : 0.0767522   
mettiez              ==> wanted : 0.232476         speak : 0.232476          closed : 0.232476        
prends               ==> noted : 0.210292          fact : 0.210292           duly : 0.210292          
perfectionnement     ==> pursuing : 0.175434       maintained : 0.175434     performance : 0.175434   
combustible          ==> trying : 0.0677569        reduced : 0.0677569       peat : 0.0677569         
sont                 ==> are : 0.991073            the : 0.00816618          of : 0.000549871         
justifiée            ==> justified : 0.53697       much : 0.0849556          me : 0.0849556           
intérêts             ==> interests : 0.998677      is : 0.0010872            have : 0.000211943       
wuermeling           ==> wuermeling : 0.487304     would : 0.437427          structure : 0.00437475   
préjuger             ==> tremendous : 0.0764977    salute : 0.0764977        regular : 0.0764977      
parvient             ==> longer : 0.24441          successful : 0.24441      were : 0.24441           
jeudi                ==> wednesday : 0.130892      thursday : 0.130892       present : 0.130892       
programme            ==> programme : 0.944479      as : 0.0555204            with : 5.76575e-08       
dires                ==> integration : 0.0718905   island : 0.0359453        unwavering : 0.0359453   
entourage            ==> sanctions : 0.148177      turnaround : 0.0740884    responded : 0.0740884    
tel                  ==> such : 0.307637           this : 0.176492           to : 0.158947            
direz                ==> say : 0.16051             perhaps : 0.16051         stated : 0.16051         
faites               ==> it : 0.571991             at : 0.230453             unfortunate : 0.0393832  
versée               ==> whereas : 0.117584        smith : 0.117584          rossi : 0.117584         
île                  ==> island : 0.448213         s : 0.374991              people : 0.176796        
ter                  ==> ec : 0.151311             required : 0.0760727      facilitate : 0.0760727   
proposé              ==> proposed : 0.810396       be : 0.187346             with : 0.00225669        
pieux                ==> pseudo : 0.149155         view : 0.0916251          speaking : 0.0745774     
sud                  ==> south : 0.635549          from : 0.189297           some : 0.15544           
innocentes           ==> suppose : 0.0660285       languishing : 0.0660285   jails : 0.0660285        
vienne               ==> according : 0.0541174     vienna : 0.0541174        versions : 0.0541174     
quelqu               ==> someone : 0.373411        support : 0.365198        who : 0.261389           
suu                  ==> suu : 0.16428             san : 0.16428             kyi : 0.16428            
version              ==> praise : 0.249884         definitive : 0.249884     accepting : 0.249884     
attitudes            ==> greed : 0.125649          globe : 0.125649          along : 0.125649         
sur                  ==> on : 0.948516             the : 0.0280403           in : 0.0152945           
multitude            ==> road : 0.238901           seems : 0.119451          legal : 0.119451         
flexibles            ==> strikes : 0.0862418       providers : 0.0862418     flexible : 0.0862418     
expansionnistes      ==> subsequently : 0.0254797  left : 0.0254797          form : 0.0254797         
réévaluation         ==> massive : 0.0938719       them : 0.0938719          terms : 0.0938719        
tempête              ==> weather : 0.0697894       too : 0.0697894           times : 0.0697894        
directions           ==> directorates : 0.169344   individual : 0.0913604    restructure : 0.0846718  
écouter              ==> think : 0.292806          regard : 0.0882191        portion : 0.0882191      
estimons             ==> believe : 0.534633        we : 0.241614             essential : 0.129263     
naval                ==> naval : 0.310461          should : 0.275814         answer : 0.15523         
interdisant          ==> sponsorship : 0.370991    advertising : 0.0814317   judgment : 0.062252      
promettraient        ==> promising : 0.129498      known : 0.129498          come : 0.129498          
efforçons            ==> tyrants : 0.069708        try : 0.069708            thing : 0.069708         
miniature            ==> business : 0.07776        suffices : 0.07776        sme : 0.07776            
grâce                ==> by : 0.640301             been : 0.138405           it : 0.0985056           
programmé            ==> recovery : 0.132188       planned : 0.132188        overall : 0.132188       
demie                ==> myself : 0.0797314        deserve : 0.0797314       pity : 0.0797314         
vivement             ==> wholeheartedly : 0.284509 swedish : 0.0826493       northern : 0.0826493     
texte                ==> text : 0.93963            it : 0.0603339            in : 3.39277e-05         
franche              ==> runs : 0.0647848          frankness : 0.0647848     excuses : 0.0647848      
utilisation          ==> use : 0.768462            is : 0.231533             when : 3.58424e-06       
bulle                ==> taste : 0.0699217         serving : 0.0699217       self : 0.0699217         
condamnons           ==> indiscriminate : 0.116087 harsh : 0.116087          force : 0.116087         
délibération         ==> here : 0.20052            further : 0.10026         them : 0.10026           
garantirait          ==> unification : 0.118592    unanimous : 0.118592      secures : 0.118592       
appelle              ==> for : 0.484162            on : 0.173505             is : 0.159071            
quasi                ==> saying : 0.579833         her : 0.0620047           endorses : 0.0465405     
recettes             ==> revenue : 0.119231        upturn : 0.119231         secure : 0.119231        
prochain             ==> next : 0.564752           forthcoming : 0.216808    would : 0.216625         
grecques             ==> sent : 0.311933           recent : 0.311933         greek : 0.311933         
budgétaire           ==> budgetary : 0.946307      committee : 0.0390953     on : 0.0143272           
permanente           ==> suggestion : 0.0779484    pragmatic : 0.0779484     following : 0.0779484    
ambitieux            ==> ambitious : 0.86809       in : 0.0495733            of : 0.0109406           
tardive              ==> too : 0.255148            late : 0.127574           danger : 0.127574        
mire                 ==> made : 0.139612           transferring : 0.0698061  evidence : 0.0698061     
espèces              ==> or : 0.131626             animal : 0.123642         without : 0.0658136      
outrepassent         ==> waiting : 0.0924704       submitted : 0.0924704     ratified : 0.0924704     
apportée             ==> recorded : 0.0619131      provided : 0.0619131      moving : 0.0619131       
permanents           ==> permanent : 0.0711847     special : 0.0711847       should : 0.0407875       
félicitations        ==> let : 0.594489            us : 0.396326             with : 0.00917364        
exigence             ==> for : 0.398675            provision : 0.109497      essential : 0.109497     
environnementaux     ==> environmental : 0.658099  together : 0.0373015      tackle : 0.0373015       
allemagne            ==> germany : 0.702333        a : 0.297664              in : 2.36896e-06         
grossetête           ==> grossetête : 0.29978      0911 : 0.29978            by : 0.167002            
vraie                ==> proper : 0.813346         want : 0.180847           a : 0.00580178           
v                    ==> v : 0.387547              section : 0.387547        auditors : 0.131969      
vrais                ==> signals : 0.311012        right : 0.311012          but : 0.311012           
enfant               ==> real : 0.299107           problem : 0.299107        child : 0.299107         
écoles               ==> awareness : 0.123981      schools : 0.123981        networking : 0.123981    
attirent             ==> plan : 0.154787           exists : 0.110484         drawn : 0.110484         
économies            ==> a : 0.379387              savings : 0.0420713       saving : 0.0420713       
devenues             ==> working : 0.0609309       wealthy : 0.0609309       single : 0.0609309       
intéressé            ==> myself : 0.149173         lifetime : 0.149173       interest : 0.149173      
cours                ==> on : 0.349367             next : 0.219943           in : 0.169543            
court                ==> short : 0.748418          weggen : 0.0176547        maij : 0.0176547         
pinochet             ==> pinochet : 0.118567       set : 0.115373            as : 0.063617            
étant                ==> the : 0.299737            is : 0.193228             this : 0.169982          
duré                 ==> chamber : 0.084518        raise : 0.084518          longer : 0.084518        
influencer           ==> influence : 0.452744      overturn : 0.0758267      exert : 0.0758267        
lancker              ==> lancker : 0.557464        are : 0.213117            today : 0.191592         
gebhardt             ==> her : 0.147572            quickly : 0.110767        reflections : 0.110767   
pertes               ==> losses : 0.278387         effect : 0.278387         they : 0.278387          
équivalent           ==> received : 0.0755098      placed : 0.0755098        loans : 0.0755098        
coréens              ==> suffering : 0.0819904     endure : 0.0819904        competing : 0.0819904    
pérennité            ==> specific : 0.157475       need : 0.157475           expressed : 0.157475     
menaçait             ==> threatened : 0.229052     comes : 0.229052          non : 0.148157           
diplomatique         ==> diplomatic : 0.493526     expect : 0.0420782        company : 0.0420782      
transporteurs        ==> worked : 0.0746421        transporters : 0.0746421  transport : 0.0746421    
grands               ==> large : 0.329052          larger : 0.283198         with : 0.2507            
parlements           ==> parliaments : 0.473733    steps : 0.157911          increase : 0.157911      
obtient              ==> tbr : 0.124881            remedy : 0.124881         propose : 0.124881       
frissonner           ==> unrealistic : 0.0990946   totally : 0.0990946       these : 0.0990946        
resteront            ==> may : 0.182859            switch : 0.0531796        revise : 0.0531796       
avoue                ==> me : 0.12086              know : 0.105958           told : 0.105958          
quatrièmement        ==> fourthly : 0.33858        two : 0.165355            industry : 0.165355      
profiter             ==> take : 0.293422           would : 0.14379           lend : 0.101377          
indicateurs          ==> indicators : 0.579593     improving : 0.407447      such : 0.00179277        
détention            ==> if : 0.154194             press : 0.0573095         passports : 0.0573095    
différents           ==> various : 0.619801        different : 0.368267      for : 0.0115434          
compétente           ==> pleased : 0.120494        gone : 0.120494           coming : 0.120494        
ethniques            ==> turned : 0.0918503        supervisory : 0.0918503   mechanism : 0.0918503    
soldats              ==> soldiers : 0.0847949      settlements : 0.0847949   lebanon : 0.0847949      
mission              ==> mission : 0.833119        that : 0.166082           taken : 0.000133391      
différente           ==> intergovernmental : 0.0999771 resulting : 0.0999771     door : 0.0999771         
correspondantes      ==> scoreboard : 0.142857     register : 0.142857       pressures : 0.142857     
compétents           ==> technical : 0.09506       standing : 0.09506        highly : 0.09506         
garant               ==> followed : 0.0601514      accordance : 0.0601514    structure : 0.0601514    
forcément            ==> they : 0.240761           shared : 0.139554         obviously : 0.139554     
style                ==> style : 0.777747          those : 0.222252          in : 9.66211e-07         
familiaux            ==> position : 0.111218       extremely : 0.111218      currently : 0.111218     
soucis               ==> opinion : 0.0997657       informed : 0.0997657      contrary : 0.0997657     
usée                 ==> victims : 0.110834        marginalises : 0.110834   lifeless : 0.110834      
susceptible          ==> would : 0.395205          lead : 0.0653352          reasonable : 0.0653352   
manière              ==> way : 0.580454            in : 0.126661             a : 0.120628             
soucie               ==> s : 0.10324               eu : 0.0789959            shunted : 0.0789959      
bout                 ==> conditions : 0.0772199    weather : 0.0772199       start : 0.0772199        
incitation           ==> concept : 0.0556155       serious : 0.0556155       preventative : 0.0556155 
accompli             ==> this : 0.256504           entered : 0.0544199       twelve : 0.0544199       
protégés             ==> that : 0.334952           why : 0.098406            protected : 0.098406     
protégée             ==> sharks : 0.212733         protection : 0.106366     wish : 0.106366          
compris              ==> including : 0.491269      the : 0.344756            would : 0.0844789        
journalistes         ==> journalists : 0.587117    non : 0.210128            are : 0.202753           
principes            ==> principles : 0.89559      that : 0.104297           be : 9.94342e-05         
intérieur            ==> internal : 0.61254        as : 0.383439             not : 0.00268197         
intégration          ==> integration : 0.62047     towards : 0.320358        that : 0.0538507         
habitudes            ==> turkey : 0.0793692        require : 0.0793692       renunciation : 0.0793692 
organiser            ==> organise : 0.485688       also : 0.0892157          prefer : 0.053135        
clandestine          ==> tighter : 0.138126        smuggling : 0.138126      see : 0.138126           
juillet              ==> july : 0.733254           should : 0.266739         from : 5.6889e-06        
médianes             ==> country : 0.113841        whereas : 0.0628342       resolve : 0.0628342      
abordons             ==> discussing : 0.228554     been : 0.228393           time : 0.219463          
annoncée             ==> hand : 0.185528           deal : 0.185528           other : 0.185528         
attendant            ==> know : 0.216594           positions : 0.216594      by : 0.216594            
fossiles             ==> renewables : 0.105515     meet : 0.105515           let : 0.105515           
saine                ==> healthy : 0.46585         stay : 0.232925           overall : 0.232925       
contractés           ==> contracted : 0.333327     seventy : 0.166664        percent : 0.166664       
projets              ==> projects : 0.53315        high : 0.13578            do : 0.0778887           
pièges               ==> he : 0.0800732            come : 0.0800732          system : 0.0800732       
informations         ==> information : 0.992624    in : 0.00676448           a : 0.000331687          
financent            ==> tulips : 0.0777748        reasonably : 0.0777748    finance : 0.0777748      
radical              ==> radical : 0.511025        food : 0.0691678          rules : 0.0691678        
reliquats            ==> happened : 0.0926077      backlogs : 0.0926077      allow : 0.0926077        
colombie             ==> whether : 0.106129        stem : 0.106129           peasant : 0.106129       
similaire            ==> simply : 0.099329         similar : 0.099329        larger : 0.099329        
blanc                ==> white : 0.972762          paper : 0.0272086         has : 2.23135e-05        
passer               ==> if : 0.329122             you : 0.192719            on : 0.17117             
réprobation          ==> reiterate : 0.0658391     preliminary : 0.0658391   kendakor : 0.0658391     
quantitatif          ==> business : 0.07776        suffices : 0.07776        sme : 0.07776            
exagération          ==> about : 0.0994236         reflection : 0.0767522    populists : 0.0767522    
étroits              ==> profile : 0.15309         integrating : 0.15309     heighten : 0.15309       
étroite              ==> closer : 0.438132         make : 0.322514           through : 0.0379488      
financer             ==> finance : 0.540848        would : 0.296134          note : 0.0241333         
finances             ==> finances : 0.23125        affairs : 0.22663         financial : 0.183506     
modifié              ==> genetically : 0.126147    modified : 0.126146       supplement : 0.108891    
représente           ==> represent : 0.301987      be : 0.228791             that : 0.155979          
option               ==> producer : 0.0480775      becoming : 0.0480775      stronger : 0.0480775     
apportons            ==> jakarta : 0.142291        his : 0.142291            him : 0.142291           
auparavant           ==> earlier : 0.424606        these : 0.324184          on : 0.23983             
bouche               ==> nothing : 0.0699217       self : 0.0699217          bitter : 0.0699217       
prévaut              ==> survival : 0.166838       seas : 0.166838           fittest : 0.166838       
spécifiques          ==> specific : 0.951029       policies : 0.0489711      for : 4.8452e-09         
surveiller           ==> remit : 0.129962          monitor : 0.129962        legal : 0.129962         
gibpubsafe           ==> plan : 0.154787           exists : 0.110484         drawn : 0.110484         
double               ==> which : 0.395116          increase : 0.266179       twofold : 0.138264       
administratives      ==> administrative : 0.475969 really : 0.104806         simplify : 0.104806      
dans                 ==> in : 0.95024              to : 0.0405321            the : 0.00842646         
consentement         ==> win : 0.149433            untiring : 0.149433       full : 0.149433          
inférieures          ==> proposed : 0.428244       reduced : 0.0509626       meets : 0.0509626        
paysage              ==> wind : 0.101462           turbines : 0.101462       ruining : 0.101462       
fixés                ==> weights : 0.0598667       universal : 0.0598667     tariff : 0.0598667       
motivation           ==> is : 0.276101             motivation : 0.0956519    excessive : 0.0956519    
vigoureux            ==> such : 0.144606           plea : 0.144606           making : 0.144606        
permettront          ==> will : 0.2894             specifically : 0.0973529  sufficient : 0.0973529   
uniforme             ==> an : 0.115823             britain : 0.0970815       triple : 0.0970815       
vertus               ==> virtues : 0.0880803       suspect : 0.0880803       fragment : 0.0880803     
importe              ==> any : 0.367433            on : 0.235625             a : 0.191723             
élaborés             ==> kept : 0.107575           produced : 0.107575       associations : 0.107575  
préférerait          ==> course : 0.22634          prefer : 0.22634          examine : 0.22634        
